frame_id,timestamp_s,ego_x,ego_y,ego_psi,N_vehicles,P_processed,S_segments,K_beams,sum_m_k,num_hits,time_scan_sec,memory_rss_mb
0,0.0,1011.0,999.0,1.5707963267948966,10,10,40,241,6,3,0.0002682999984244816,2282.26171875
1,0.1,1010.9902871712657,999.5397133711405,1.6067849863548966,10,3,12,241,0,0,0.0005338000046322122,2282.26953125
2,0.2,1010.9611612636016,1000.078727789809,1.6427736459148965,10,8,32,241,0,0,0.00019810000230791047,2282.26953125
3,0.3,1010.9126599963349,1000.6163452087078,1.6787623054748966,10,2,8,241,0,0,0.00021260000357870013,2282.2890625
4,0.4,1010.8448461807325,1001.1518693897149,1.7147509650348967,10,8,32,241,0,0,0.00015950000670272857,2282.2890625
5,0.5,1010.7578076386579,1001.6846068055432,1.7507396245948967,10,3,12,241,0,0,0.00013579999358626083,2282.2890625
6,0.6,1010.6516570888383,1002.2138675378886,1.7867282841548966,10,2,8,241,0,0,0.0001453000004403293,2282.29296875
7,0.7,1010.5265320008882,1002.7389661709047,1.8227169437148965,10,7,28,241,0,0,0.00037429999792948365,2282.30859375
8,0.8,1010.3825944172811,1003.259222678846,1.8587056032748965,10,3,12,241,0,0,0.00013760000001639128,2282.31640625
9,0.9,1010.2200307434965,1003.773963306731,1.8946942628348966,10,6,24,241,0,0,0.00017110000044340268,2282.33984375
10,1.0,1010.0390515066175,1004.2825214428851,1.9306829223948967,10,2,8,241,0,0,0.00014350000128615648,2282.35546875
11,1.1,1009.8398910826883,1004.7842384822312,1.9666715819548966,10,6,24,241,22,0,0.00013469999976223335,2282.359375
12,1.2,1009.6228073931874,1005.2784646792126,2.0026602415148966,10,2,8,241,4,0,0.00012250000145286322,2282.36328125
13,1.3,1009.3880815710077,1005.7645599892412,2.0386489010748967,10,5,20,241,8,0,9.280000085709617e-05,2282.36328125
14,1.4,1009.1360175963773,1006.2418948975849,2.0746375606348963,10,1,4,241,14,2,9.080000018002465e-05,2282.36328125
15,1.5,1008.8669419031917,1006.7098512346148,2.110626220194897,10,4,16,241,0,0,0.00020020000374643132,2282.37109375
16,1.6,1008.5812029562672,1007.1678229763636,2.1466148797548965,10,2,8,241,26,1,0.00020430000586202368,2282.38671875
17,1.7,1008.2791708000647,1007.6152170293522,2.1826035393148966,10,4,16,241,38,0,0.0001503000021330081,2282.40234375
18,1.8,1007.9612365794648,1008.051453998672,2.2185921988748967,9,1,4,241,0,0,0.00014830000145593658,2282.40625
19,1.9,1007.6278120332184,1008.475968938327,2.2545808584348963,8,3,12,241,0,0,6.230000144569203e-05,2282.4140625
20,2.0,1007.2793289607278,1008.8882120828634,2.2905695179948964,8,3,12,241,52,0,0.0001497999983257614,2282.4140625
21,2.1,1006.9162386628459,1009.28764955934,2.3265581775548965,8,3,12,241,0,0,6.589999975403771e-05,2282.4140625
22,2.2,1006.5390113574233,1009.6737640787167,2.3625468371148965,8,1,4,241,0,0,5.059999966761097e-05,2282.4140625
23,2.3,1006.148135570355,1010.046055605767,2.3985354966748966,7,0,0,241,0,0,6.410000059986487e-05,2282.4140625
24,2.4,1005.7441175029174,1010.4040420066456,2.4345241562348967,8,3,12,241,0,0,6.259999645408243e-05,2282.41796875
25,2.5,1005.327480376217,1010.7472596732722,2.4705128157948963,8,2,8,241,0,0,5.440000677481294e-05,2282.4296875
26,2.6,1004.8987637535942,1011.0752641237249,2.506501475354897,7,3,12,241,0,0,4.5199994929134846e-05,2282.4296875
27,2.7,1004.4585228418666,1011.3876305778635,2.5424901349148965,7,2,8,241,0,0,0.00010240000119665638,2282.4453125
28,2.8,1004.0073277723113,1011.6839545074387,2.5784787944748966,7,2,8,241,114,0,0.00013320000289240852,2282.4609375
29,2.9,1003.5457628623196,1011.963852159973,2.6144674540348967,7,3,12,241,0,0,0.00018940000154543668,2282.46484375
30,3.0,1003.0744258586811,1012.2269610557386,2.6504561135948967,7,2,8,241,0,0,0.00010539999493630603,2282.46484375
31,3.1,1002.5939271634747,1012.4729404571826,2.686444773154897,7,3,12,241,0,0,0.00015310000162571669,2282.46484375
32,3.2,1002.1048890435716,1012.701471810199,2.7224334327148965,7,2,8,241,0,0,9.389999468112364e-05,2282.46484375
33,3.3,1001.6079448247722,1012.9122591566686,2.7584220922748965,6,1,4,241,0,0,0.00010119999933522195,2282.46484375
34,3.4,1001.1037380716215,1013.1050295177388,2.7944107518348966,6,3,12,241,0,0,0.0001512000017100945,2282.46875
35,3.5,1000.5929217539649,1013.2795332473423,2.8303994113948967,6,2,8,241,0,0,6.0999998822808266e-05,2282.46875
36,3.6,1000.0761574013234,1013.435544355501,2.866388070954897,6,3,12,241,0,0,5.370000144466758e-05,2282.4765625
37,3.7,999.5541142461841,1013.5728608009914,2.9023767305148964,6,2,8,241,0,0,4.539999645203352e-05,2282.484375
38,3.8,999.0274683573148,1013.6913047529979,2.9383653900748965,6,2,8,241,0,0,8.149999484885484e-05,2282.484375
39,3.9,998.4969017642251,1013.790722821411,2.9743540496348966,6,3,12,241,0,0,4.780000017490238e-05,2282.484375
40,4.0,997.9631015739084,1013.8709862554747,3.0103427091948967,7,4,16,241,0,0,4.7900000936351717e-05,2282.484375
41,4.1,997.4267590810082,1013.9319911105238,3.0463313687548963,7,3,12,241,0,0,4.339999577496201e-05,2282.484375
42,4.2,996.8885688725616,1013.9736583825969,3.082320028314897,7,3,12,241,0,0,4.359999729786068e-05,2282.484375
43,4.3,996.3492279284778,1013.9959341107506,3.1183086878748965,7,3,12,241,0,0,4.549999721348286e-05,2282.484375
44,4.4,995.8094347189196,1013.9987894469402,-3.1288879597446897,7,4,16,241,124,14,4.8600006266497076e-05,2282.484375
45,4.5,995.2698882997532,1013.9822206933807,-3.09289930018469,7,2,8,241,24,12,4.6200002543628216e-05,2282.48828125
46,4.6,994.7312874072403,1013.9462493073337,-3.05691064062469,7,2,8,241,18,9,4.269999772077426e-05,2282.48828125
47,4.7,994.1943295531443,1013.8909218733211,-3.02092198106469,7,4,16,241,114,6,4.430000262800604e-05,2282.50390625
48,4.8,993.6597101214217,1013.8163100427948,-2.98493332150469,7,2,8,241,6,3,4.230000195093453e-05,2282.5078125
49,4.9,993.1281214676696,1013.7225104413459,-2.9489446619446897,6,5,20,241,104,0,4.900000203633681e-05,2282.515625
50,5.0,992.6002520224949,1013.6096445435695,-2.91295600238469,6,2,8,241,0,0,4.25000034738332e-05,2282.515625
51,5.1,992.0767853999664,1013.4778585157503,-2.87696734282469,6,2,8,241,0,0,4.189999890513718e-05,2282.515625
52,5.2,991.5583995123043,1013.3273230265706,-2.84097868326469,6,5,20,241,92,0,4.460000491235405e-05,2282.51953125
53,5.3,991.0457656919544,1013.1582330260871,-2.80499002370469,6,2,8,241,0,0,4.769999941345304e-05,2282.51953125
54,5.4,990.539547822184,1012.9708074932619,-2.76900136414469,6,4,16,241,70,0,4.8000001697801054e-05,2282.51953125
55,5.5,990.040401477322,1012.7652891523751,-2.73301270458469,6,2,8,241,0,0,4.2100000428035855e-05,2282.51953125
56,5.6,989.5489730737637,1012.5419441586862,-2.69702404502469,6,1,4,241,0,0,5.169999349163845e-05,2282.51953125
