frame_id,timestamp_s,N_vehicles,P_processed,S_segments,K_beams,sum_m_k,num_hits,time_build_sec,time_total_sec,memory_rss_mb,engine
0,0.0,10,10,40,241,9640,172,0.000527900003362447,0.012194499999168329,2297.35546875,vanilla
1,0.1,10,10,40,241,9640,163,0.0004023000001325272,0.014143200001853984,2297.3671875,vanilla
2,0.2,10,10,40,241,9640,138,0.00040330000047106296,0.011045800005376805,2297.38671875,vanilla
3,0.3,10,10,40,241,9640,89,0.00019869999960064888,0.009776799997780472,2297.40625,vanilla
4,0.4,10,10,40,241,9640,98,0.00023070000315783545,0.009128300000156742,2297.41015625,vanilla
5,0.5,10,10,40,241,9640,109,0.0001847000021371059,0.00930819999484811,2297.44140625,vanilla
6,0.6,10,10,40,241,9640,116,0.00015999999595806003,0.00899780000327155,2297.4453125,vanilla
7,0.7,10,10,40,241,9640,112,0.000155999994603917,0.009073499997612089,2297.44921875,vanilla
8,0.8,10,10,40,241,9640,100,0.00015300000086426735,0.00902209999912884,2297.4609375,vanilla
9,0.9,10,10,40,241,9640,83,0.00013059999764664099,0.00900260000344133,2297.46484375,vanilla
10,1.0,10,10,40,241,9640,55,0.00013999999646330252,0.009343799996713642,2297.47265625,vanilla
11,1.1,10,10,40,241,9640,34,0.0001875000016298145,0.00904420000006212,2297.484375,vanilla
12,1.2,10,10,40,241,9640,24,0.00012390000483719632,0.009251299998140894,2297.484375,vanilla
13,1.3,10,10,40,241,9640,24,0.0001860999982454814,0.009012100003019441,2297.49609375,vanilla
14,1.4,10,10,40,241,9640,24,0.00014730000111740083,0.008926700000301935,2297.515625,vanilla
15,1.5,10,10,40,241,9640,24,0.00011939999967580661,0.009045500002685003,2297.515625,vanilla
16,1.6,10,10,40,241,9640,24,0.00015729999722680077,0.008931299998948816,2297.515625,vanilla
17,1.7,10,10,40,241,9640,241,0.00014109999756328762,0.009121099996264093,2297.51953125,vanilla
18,1.8,9,9,36,241,8676,241,0.00013549999857787043,0.008178500000212807,2297.5234375,vanilla
